Date,Close,High,Low,Open,Volume
2021-06-23,172.9261474609375,173.62562519837215,168.10752469459234,172.05180770106446,575110
2021-06-24,174.90798950195312,177.2007187697439,171.50775629774543,172.9261458139904,394299
2021-06-25,174.5971221923828,178.8522760012709,173.89764444780283,174.86913966818162,511215
2021-06-28,180.21237182617188,182.2525178141179,172.9844446759922,174.49997491899606,504103
2021-06-29,182.9908447265625,187.73174626023203,179.7266201142368,179.7266201142368,667808
2021-06-30,179.7460479736328,184.58408997060815,177.39503134339435,182.03877726306348,506269
2021-07-01,183.37942504882812,185.51672630633152,179.82376395210167,179.82376395210167,365127
2021-07-02,184.77838134765625,187.30427475990683,183.4182940172691,184.2731997004381,264189
2021-07-05,186.42991638183594,187.4014115476065,183.94289112927765,187.12939408709792,146929
2021-07-06,181.98048400878906,187.0128219195445,181.98048400878906,186.4299188827268,437746
2021-07-07,187.8871612548828,187.9843167020943,181.53358932139463,184.27319801144696,407522
2021-07-08,182.13592529296875,188.3729230182053,181.49474969418077,186.52708797300883,319783
2021-07-09,182.64111328125,184.4675291576918,181.76677345571684,183.74861731138478,220831
2021-07-12,196.09629821777344,196.24201655795898,184.68123042294167,184.7783710417856,1032701
2021-07-13,197.65069580078125,200.27372988033358,195.56198704687708,196.72777832402917,417145
2021-07-14,190.35476684570312,197.4078164753371,189.92730659714834,197.2135204052231,329109
2021-07-15,189.3638458251953,192.0257480550424,187.6151514706914,190.3936283828919,400152
2021-07-16,188.6060791015625,192.3171979118295,187.98432276135196,189.38327823278578,279128
2021-07-19,180.98956298828125,188.47007323972915,179.37687736057003,188.08148108011136,508610
2021-07-20,182.25250244140625,183.41829369739648,179.86261776636223,181.53359066868958,399604
2021-07-21,179.221435546875,188.70323846132354,175.2577332369755,182.64110290079944,415891
2021-07-22,180.73696899414062,185.5555919354787,179.95978465662506,181.9610624910256,254135
2021-07-23,180.97012329101562,183.69031279505455,180.5620970889858,182.15534861189087,219461
2021-07-26,178.755126953125,183.51544777397066,177.14244127180427,183.51544777397066,338742
2021-07-27,177.99734497070312,179.51287505333852,176.0543546444855,179.16313620166574,317100
2021-07-28,178.54139709472656,178.81341458070182,171.76036435347248,177.99736212277602,669129
2021-07-29,178.755126953125,183.9040547703474,177.64762295517343,180.69811746348506,540016
2021-07-30,179.47402954101562,179.5323168815118,173.54790285989864,177.45331773538624,307103
2021-08-02,170.01165771484375,178.24993274943637,169.623065569603,178.24993274943637,828778
2021-08-03,170.516845703125,172.32382741098039,169.13732426523293,171.9546544825865,411366
2021-08-04,170.10882568359375,172.92615600355336,167.73837488116865,170.5168519132805,244126
2021-08-05,173.1593017578125,174.65539777397146,169.75906871542972,170.86657259913795,290573
2021-08-06,169.15673828125,173.2564491820951,168.55441600514865,173.2175958968603,181795
2021-08-09,167.09718322753906,170.24483317840807,165.79538314848824,170.01166898150777,230117
2021-08-10,161.42364501953125,167.87437251580738,161.42364501953125,167.6800764417432,527025
2021-08-11,162.5894317626953,163.7552229984752,159.40292880043833,161.46249381111082,226485
2021-08-12,162.1036834716797,163.28890875630464,160.0441184699956,162.23969220152978,175533
2021-08-13,164.08554077148438,167.9521025155206,161.73452406001687,162.8226088134386,197493
2021-08-16,160.29672241210938,165.63994649251302,160.29672241210938,164.08554810322258,279203
2021-08-17,166.14512634277344,166.65029321340296,159.8109729891246,160.78246826565424,396754
2021-08-18,161.85110473632812,165.54277460274102,161.75394928770032,165.29019118968503,214894
2021-08-19,163.50265502929688,163.87181314744802,159.88869148046595,162.31742962759205,192913
2021-08-20,161.01564025878906,163.5026659152164,159.69440602583174,163.48323185806996,412701
2021-08-23,160.5104522705078,162.99747782979458,159.51952292853395,161.4236602107738,191400
2021-08-24,161.05447387695312,162.12312453184305,160.3161428578367,161.48193413890908,178932
2021-08-25,160.8601837158203,161.65680210470714,159.46122819755558,160.99619245654932,229919
2021-08-26,163.2500457763672,166.02852262244343,158.54801259803511,160.27727285637906,460051
2021-08-27,162.99746704101562,163.67751073114584,160.7824591223968,163.42492731019482,205621
2021-08-30,162.84202575683594,165.03761446453942,159.7138099294092,163.0946240039683,440313
2021-08-31,164.49359130859375,167.6995139394647,162.51173259527667,162.99748024526824,718032
2021-09-01,165.50392150878906,168.9430079661189,164.5712796019415,166.12567783874067,438621
2021-09-02,184.56466674804688,187.4597333180344,174.48055595275244,174.86914813017182,1619048
2021-09-03,181.6890411376953,186.58537054940805,179.7266166324387,184.56465870246353,426207
2021-09-06,182.64111328125,183.80690465657477,179.74606148736117,181.99992283647683,298438
2021-09-07,179.72662353515625,182.23308309088588,176.6178416603975,181.57245860408892,424729
2021-09-08,173.41188049316406,179.72659883045014,173.21758443216928,179.72659883045014,466063
2021-09-09,175.52975463867188,175.52975463867188,171.56606706401072,172.82899902982356,325655
2021-09-10,176.24867248535156,178.61912334798686,174.0725177145726,175.54919469559553,307768
2021-09-13,182.58282470703125,183.3211557808706,176.3263927521646,177.06472382600396,489358
2021-09-14,183.3988800048828,184.350941240196,178.98829790248607,183.61261015499173,427519
2021-09-15,185.41957092285156,186.13848269370058,181.31986007126181,182.05819107257483,350844
2021-09-16,190.7628173828125,190.898826131632,185.55560199054307,185.55560199054307,597918
2021-09-17,189.44155883789062,193.73556572602203,186.79909077998823,191.3845491849459,1079275
2021-09-20,179.1631622314453,186.77968185906542,178.75513598252016,186.6436731094237,384305
2021-09-21,179.5323028564453,182.64108430538616,177.78360865896633,178.94939984933924,367099
2021-09-22,184.68124389648438,187.18768847357074,180.50381156160648,180.89240371301076,443804
2021-09-23,187.49856567382812,190.89879873008925,184.99210638492346,185.55557535596463,256997
2021-09-24,178.77455139160156,187.30427808731227,178.77455139160156,187.24599074695166,363197
2021-09-27,176.01548767089844,180.83411023346002,172.14894104748353,180.11519847154435,295818
2021-09-28,178.5802459716797,179.72660313569682,173.8976322231877,175.16057888566596,230900
2021-09-29,178.85227966308594,181.57245447676678,177.7836289692535,178.75512420952265,137603
2021-09-30,186.33277893066406,186.33277893066406,179.22142708075597,180.7952593562996,364149
2021-10-01,184.13719177246094,189.83015417826888,181.2032869721071,185.06983367726124,433807
2021-10-04,178.85227966308594,182.75767985580242,177.29788134911894,182.75767985580242,423246
2021-10-05,188.47006225585938,188.47006225585938,177.29786784378524,178.7551105931862,516587
2021-10-06,187.6345977783203,188.25635416454037,182.6411126322849,187.20713748332372,375756
2021-10-07,188.56724548339844,191.67602750869887,184.27322317088493,184.58410878533596,494755
2021-10-08,189.30555725097656,191.0931048800082,187.16827075332216,188.3534960956637,253153
2021-10-11,189.6358642578125,192.25889839089768,187.30428165592357,189.20840398857004,272269
2021-10-12,198.08787536621094,198.9622299847244,189.59701637615274,189.59701637615274,618027
2021-10-13,202.89678955078125,203.43110008094314,195.0762497981221,197.26211411771894,402533
2021-10-14,194.29904174804688,205.9569842529297,193.6189980666968,202.84820254972905,577646
2021-10-15,182.75765991210938,195.27052198492095,182.66051929298763,195.07622592283815,963877
2021-10-18,183.67088317871094,186.0413338777405,180.79526564048928,183.4182997591149,334339
2021-10-19,191.85086059570312,191.8897287035647,183.709741211793,183.709741211793,303807
2021-10-20,188.08148193359375,191.9480287875472,187.98432648132808,191.38455977685598,209050
